epoch;loss
0;1546188.94444
1;1495519.65278
2;1452065.86111
3;1412477.27778
4;1375170.22222
5;1339715.68056
6;1305730.09722
7;1272508.47222
8;1240674.20833
9;1209266.72222
10;1178539.31944
11;1148062.26389
12;1118093.40278
13;1088351.31944
14;1059189.22222
15;1032970.45139
16;1007536.82639
17;982173.986111
18;956381.743056
19;930479.131944
20;904610.715278
21;878409.986111
22;852330.055556
23;825913.131944
24;799398.777778
25;772897.694444
26;746101.916667
27;719325.152778
28;692586.048611
29;665657.965278
30;638991.472222
31;612064.576389
32;585396.986111
33;558858.923611
34;532429.100694
35;506345.100694
36;480447.083333
37;454929.315972
38;429936.239583
39;405267.746528
40;381039.118056
41;357633.802083
42;334686.715278
43;312417.503472
44;290807.725694
45;270131.557292
46;250092.041667
47;230880.151042
48;212525.633681
49;195163.887153
50;178619.291667
51;162995.111111
52;148255.064236
53;134359.65191
54;121436.059028
55;109443.552083
56;98238.0538194
57;87881.1796875
58;78404.3706597
59;69681.9518229
60;61669.0755208
61;54475.9583333
62;47878.3919271
63;41986.7304688
64;36671.6640625
65;31908.515191
66;27688.9635417
67;23914.343967
68;20624.5206163
69;17708.2938368
70;15150.7986111
71;12928.5725911
72;10988.1873915
73;9323.5914171
74;7880.53222656
75;6635.83235677
76;5578.96017795
77;4680.87139214
78;3907.87917752
79;3260.52967665
80;2719.79071723
81;2262.27453613
82;1878.55665419
83;1555.18294271
84;1290.48620605
85;1069.51647949
86;892.172814263
87;742.288864983
88;614.97668457
89;509.647153219
90;433.998103672
91;364.06150394
92;310.358740065
93;267.585586548
94;234.570865101
95;204.08623494
96;181.944786496
97;164.142196231
98;150.109530131
99;136.937093099
100;127.010925399
101;121.246048186
102;113.67524298
103;110.458384726
104;105.030088531
105;102.561244753
106;100.522450871
107;98.282350964
108;97.5422280629
109;95.7462659412
110;94.7205754386
111;94.2051959568
112;93.8656435808
113;93.253774378
114;92.9000375006
115;92.5702288416
116;92.3904143439
117;92.2264729871
118;92.2509804037
119;92.4726793236
120;92.0150796043
121;91.9237123926
122;91.9131879807
123;91.9137030178
124;91.8908936183
125;91.8732739455
126;91.8850352334
127;92.1083600985
128;92.0371179581
129;92.0341004795
130;91.9254729483
131;91.8275852203
132;91.8091344833
133;91.8146887355
134;92.1844716602
135;91.9107179907
136;91.7930155529
137;91.9296969573
138;91.9474321736
139;91.8313761287
140;91.9270625644
141;91.8789626227
142;92.3535172674
143;91.9264608622
144;92.0163237519
145;91.8349694676
146;91.8131762942
147;92.0164809227
148;92.0776374605
149;91.8258779844
150;92.0499577522
151;91.8576296171
152;92.0027094947
153;91.787381702
154;91.8050808377
155;91.9599946605
156;91.9186163081
157;91.7844657633
158;92.0262014071
159;91.8129351139
160;91.8166591326
161;91.8544238408
162;91.9860778385
163;91.9569386939
164;92.0888297293
165;91.8723832369
166;91.8759169579
167;92.055115872
168;91.9475980335
169;91.7959119479
170;91.8180391921
171;91.9588186476
172;92.2980836233
173;92.2900466257
174;92.1808916728
175;91.87574074
176;92.1120555732
177;92.2619852225
178;92.2889925109
179;92.1423465941
180;91.8151009878
181;92.2391581535
182;91.8688834707
183;92.0478057067
184;91.7669329246
185;92.1807082494
186;91.8915294541
187;92.0338537958
188;91.8170659277
189;91.8393492699
190;92.4368826747
191;91.8198948304
192;92.0043176942
193;92.0683768988
194;92.0327237447
195;91.8167997201
196;91.9668158359
197;91.9598387082
198;91.7962183025
199;92.1898845567
